transaction_id,customer_key,product_key,date_key,quantity,price_per_unit,total_amount
1,651,3,454,3,50,150
1,651,3,109,3,50,150
2,455,2,501,2,500,1000
2,455,2,156,2,500,1000
3,599,1,406,1,30,30
3,599,1,61,1,30,30
4,220,2,682,1,500,500
4,220,2,337,1,500,500
5,670,3,679,2,50,100
5,670,3,334,2,50,100
6,51,3,588,1,30,30
6,51,3,243,1,30,30
7,684,2,455,2,25,50
7,684,2,110,2,25,50
8,325,1,548,4,25,100
8,325,1,203,4,25,100
9,889,1,658,2,300,600
9,889,1,313,2,300,600
10,939,2,442,4,50,200
10,939,2,97,4,50,200
11,405,2,542,2,50,100
11,405,2,197,2,50,100
12,565,3,510,3,25,75
12,565,3,165,3,25,75
13,992,1,492,3,500,1500
13,992,1,147,3,500,1500
14,140,2,367,4,30,120
14,140,2,22,4,30,120
15,12,1,359,4,500,2000
15,12,1,14,4,500,2000
16,483,2,621,3,500,1500
16,483,2,276,3,500,1500
17,283,2,562,4,25,100
17,283,2,217,4,25,100
18,729,1,531,2,25,50
18,729,1,186,2,25,50
19,421,2,672,2,25,50
19,421,2,327,2,25,50
20,336,2,464,3,300,900
20,336,2,119,3,300,900
21,757,3,641,1,500,500
21,757,3,296,1,500,500
22,72,2,609,2,50,100
22,72,2,264,2,50,100
23,301,2,396,4,30,120
23,301,2,51,4,30,120
24,863,2,606,1,300,300
24,863,2,261,1,300,300
25,23,3,463,1,50,50
25,23,3,118,1,50,50
26,333,1,442,2,500,1000
26,333,1,97,2,500,1000
27,899,3,592,2,25,50
27,899,3,247,2,25,50
28,608,3,530,1,500,500
28,608,3,185,1,500,500
29,967,1,503,1,30,30
29,967,1,158,1,30,30
30,347,3,598,3,300,900
30,347,3,253,3,300,900
31,287,1,515,4,300,1200
31,287,1,170,4,300,1200
32,503,3,422,3,30,90
32,503,3,77,3,30,90
33,305,1,504,2,50,100
33,305,1,159,2,50,100
34,576,2,518,3,50,150
34,576,2,173,3,50,150
35,102,3,492,3,300,900
35,102,3,147,3,300,900
36,544,3,361,3,300,900
36,544,3,16,3,300,900
37,213,3,515,3,25,75
37,213,3,170,3,25,75
38,389,3,649,4,50,200
38,389,3,304,4,50,200
39,627,2,565,4,30,120
39,627,2,220,4,30,120
40,864,3,424,1,50,50
40,864,3,79,1,50,50
41,589,2,548,2,25,50
41,589,2,203,2,25,50
42,978,2,621,3,300,900
42,978,2,276,3,300,900
43,977,2,511,1,300,300
43,977,2,166,1,300,300
44,601,2,665,1,25,25
44,601,2,320,1,25,25
45,931,1,491,1,30,30
45,931,1,146,1,30,30
46,288,1,508,4,300,1200
46,288,1,163,4,300,1200
47,374,3,563,3,500,1500
47,374,3,218,3,500,1500
48,777,1,500,3,300,900
48,777,1,155,3,300,900
49,538,1,514,2,500,1000
49,538,1,169,2,500,1000
50,151,3,613,3,25,75
50,151,3,268,3,25,75
51,56,3,594,3,25,75
51,56,3,249,3,25,75
52,938,3,377,1,300,300
52,938,3,32,1,300,300
53,25,1,678,2,50,100
53,25,1,333,2,50,100
54,533,1,578,3,500,1500
54,533,1,233,3,500,1500
55,593,3,410,4,30,120
55,593,3,65,4,30,120
56,118,2,418,3,300,900
56,118,2,73,3,300,900
57,807,3,566,1,30,30
57,807,3,221,1,30,30
58,280,2,381,4,300,1200
58,280,2,36,4,300,1200
59,40,2,486,1,50,50
59,40,2,141,1,50,50
60,607,3,611,3,50,150
60,607,3,266,3,50,150
61,285,3,571,4,50,200
61,285,3,226,4,50,200
62,631,3,647,2,50,100
62,631,3,302,2,50,100
63,901,1,627,2,25,50
63,901,1,282,2,25,50
64,520,2,674,4,25,100
64,520,2,329,4,25,100
65,504,1,522,4,500,2000
65,504,1,177,4,500,2000
66,888,1,429,1,30,30
66,888,1,84,1,30,30
67,756,3,681,4,300,1200
67,756,3,336,4,300,1200
68,291,1,578,1,300,300
68,291,1,233,1,300,300
69,668,3,531,3,25,75
69,668,3,186,3,25,75
70,667,2,369,1,300,300
70,667,2,24,1,300,300
71,216,3,511,4,25,100
71,216,3,166,4,25,100
72,679,1,515,4,500,2000
72,679,1,170,4,500,2000
73,868,1,538,3,30,90
73,868,1,193,3,30,90
74,819,3,509,4,500,2000
74,819,3,164,4,500,2000
75,560,3,546,4,50,200
75,560,3,201,4,50,200
76,463,1,575,2,50,100
76,463,1,230,2,50,100
77,416,2,443,2,50,100
77,416,2,98,2,50,100
78,943,2,488,3,500,1500
78,943,2,143,3,500,1500
79,726,3,474,1,300,300
79,726,3,129,1,300,300
80,745,2,498,2,30,60
80,745,2,153,2,30,60
81,616,1,425,1,50,50
81,616,1,80,1,50,50
82,597,3,463,4,50,200
82,597,3,118,4,50,200
83,219,1,362,2,50,100
83,219,1,17,2,50,100
84,441,1,437,3,30,90
84,441,1,92,3,30,90
85,438,2,536,3,50,150
85,438,2,191,3,50,150
86,339,3,605,3,30,90
86,339,3,260,3,30,90
87,747,3,509,2,50,100
87,747,3,164,2,50,100
88,952,2,373,1,500,500
88,952,2,28,1,500,500
89,697,1,608,4,500,2000
89,697,1,263,4,500,2000
90,388,1,679,1,30,30
90,388,1,334,1,30,30
91,144,1,575,1,500,500
91,144,1,230,1,500,500
92,637,1,452,4,30,120
92,637,1,107,4,30,120
93,84,3,511,4,500,2000
93,84,3,166,4,500,2000
94,956,3,529,2,500,1000
94,956,3,184,2,500,1000
95,643,2,454,2,30,60
95,643,2,109,2,30,60
96,894,2,403,2,300,600
96,894,2,58,2,300,600
97,540,3,569,2,500,1000
97,540,3,224,2,500,1000
98,402,3,530,2,50,100
98,402,3,185,2,50,100
99,580,1,499,4,300,1200
99,580,1,154,4,300,1200
100,346,1,620,1,30,30
100,346,1,275,1,30,30
101,202,2,524,2,300,600
101,202,2,179,2,300,600
102,46,3,532,2,25,50
102,46,3,187,2,25,50
103,68,2,367,1,25,25
103,68,2,22,1,25,25
104,951,3,527,2,500,1000
104,951,3,182,2,500,1000
105,604,1,495,1,500,500
105,604,1,150,1,500,500
106,734,2,685,1,50,50
106,734,2,340,1,50,50
107,823,2,623,4,300,1200
107,823,2,278,4,300,1200
108,709,3,368,3,25,75
108,709,3,23,3,25,75
109,964,1,419,4,500,2000
109,964,1,74,4,500,2000
110,672,2,527,3,300,900
110,672,2,182,3,300,900
111,711,1,368,3,500,1500
111,711,1,23,3,500,1500
112,250,2,632,3,500,1500
112,250,2,287,3,500,1500
113,830,1,654,2,25,50
113,830,1,309,2,25,50
114,92,3,457,4,25,100
114,92,3,112,4,25,100
115,86,2,472,3,500,1500
115,86,2,127,3,500,1500
116,846,2,626,1,30,30
116,846,2,281,1,30,30
117,728,1,432,2,500,1000
117,728,1,87,2,500,1000
118,545,1,500,4,500,2000
118,545,1,155,4,500,2000
119,439,2,455,3,50,150
119,439,2,110,3,50,150
120,748,3,428,1,50,50
120,748,3,83,1,50,50
121,63,1,609,4,50,200
121,63,1,264,4,50,200
122,274,1,643,4,30,120
122,274,1,298,4,30,120
123,955,1,652,2,30,60
123,955,1,307,2,30,60
124,514,2,676,4,500,2000
124,514,2,331,4,500,2000
125,432,2,441,2,50,100
125,432,2,96,2,50,100
126,390,2,440,3,30,90
126,390,2,95,3,30,90
127,136,2,584,2,25,50
127,136,2,239,2,25,50
128,773,3,486,1,500,500
128,773,3,141,1,500,500
129,812,3,530,2,300,600
129,812,3,185,2,300,600
130,618,2,375,1,500,500
130,618,2,30,1,500,500
131,682,3,439,2,300,600
131,682,3,94,2,300,600
132,603,1,666,4,50,200
132,603,1,321,4,50,200
133,190,1,622,3,300,900
133,190,1,277,3,300,900
134,355,1,570,1,50,50
134,355,1,225,1,50,50
135,362,2,374,2,25,50
135,362,2,29,2,25,50
136,998,1,470,2,300,600
136,998,1,125,2,300,600
137,171,3,566,2,500,1000
137,171,3,221,2,500,1000
138,15,2,504,4,50,200
138,15,2,159,4,50,200
139,332,3,558,4,500,2000
139,332,3,213,4,500,2000
140,705,1,492,1,30,30
140,705,1,147,1,30,30
141,552,1,519,1,50,50
141,552,1,174,1,50,50
142,554,1,391,4,300,1200
142,554,1,46,4,300,1200
143,393,2,689,1,50,50
143,393,2,344,1,50,50
144,733,3,469,3,500,1500
144,733,3,124,3,500,1500
145,372,2,519,3,25,75
145,372,2,174,3,25,75
146,497,2,480,4,50,200
146,497,2,135,4,50,200
147,688,1,616,1,300,300
147,688,1,271,1,300,300
148,90,2,656,2,30,60
148,90,2,311,2,30,60
149,61,2,644,3,25,75
149,61,2,299,3,25,75
150,639,1,670,4,30,120
150,639,1,325,4,30,120
151,854,2,558,1,50,50
151,854,2,213,1,50,50
152,818,1,555,4,500,2000
152,818,1,210,4,500,2000
153,383,1,362,2,500,1000
153,383,1,17,2,500,1000
154,462,1,594,3,300,900
154,462,1,249,3,300,900
155,121,1,425,4,500,2000
155,121,1,80,4,500,2000
156,784,2,587,4,25,100
156,784,2,242,4,25,100
157,723,1,361,4,500,2000
157,723,1,16,4,500,2000
158,467,1,501,2,300,600
